trip,stopId,stopName,timestamp,delay,variant,status
3244269,14819,Stolema,2022-04-22 05:58:57,-2,T201R12,REALTIME
3229304,202,Oliwa,2022-04-22 05:59:00,None,T201R12,SCHEDULED
3229318,2017,Politechnika,2022-04-22 05:59:18,18,T201R12,REALTIME
3229346,2148,Skrajna,2022-04-22 06:00:52,112,T201R12,REALTIME
3229346,2146,Zakopiańska,2022-04-22 06:01:44,104,T201R12,REALTIME
3244269,14818,Łabędzia,2022-04-22 06:00:24,24,T201R12,REALTIME
3229346,2144,Ciasna,2022-04-22 06:01:37,37,T201R12,REALTIME
3229318,2019,Miszewskiego,2022-04-22 06:01:00,None,T201R12,SCHEDULED
3244269,14815,Królewskie Wzgórze,2022-04-22 06:01:38,38,T201R12,REALTIME
3244269,14547,Migowo,2022-04-22 06:02:44,44,T201R12,REALTIME
3229346,2142,Paska,2022-04-22 06:03:20,80,T201R12,REALTIME
3229318,2021,Jaśkowa Dolina,2022-04-22 06:03:00,None,T201R12,SCHEDULED
3244269,14546,Budapesztańska,2022-04-22 06:04:28,28,T201R12,REALTIME
3229346,2140,Powstańców Warszawskich,2022-04-22 06:04:49,49,T201R12,REALTIME
3229318,2023,Klonowa,2022-04-22 06:04:00,None,T201R12,SCHEDULED
3244269,14540,Warneńska,2022-04-22 06:06:50,50,T201R12,REALTIME
3229318,2025,Galeria Bałtycka,2022-04-22 06:06:00,None,T201R12,SCHEDULED
3244269,14538,Belgradzka,2022-04-22 06:07:00,None,T201R12,SCHEDULED
3244269,14536,Piekarnicza,2022-04-22 06:09:00,None,T201R12,SCHEDULED
3229346,2138,Hucisko,2022-04-22 06:08:11,71,T201R12,REALTIME
3229318,2027,Wojska Polskiego,2022-04-22 06:08:00,None,T201R12,SCHEDULED
3229318,2029,Zamenhofa,2022-04-22 06:09:00,None,T201R12,SCHEDULED
3229318,2031,Zajezdnia,2022-04-22 06:10:00,None,T201R12,SCHEDULED
3229318,2033,Strzyża PKM,2022-04-22 06:11:00,None,T201R12,SCHEDULED
3244269,2150,Siedlce,2022-04-22 06:11:45,-14,T201R12,REALTIME
3244269,2148,Skrajna,2022-04-22 06:13:01,1,T201R12,REALTIME
3229318,2035,Uniwersytet Gdański,2022-04-22 06:13:00,None,T201R12,SCHEDULED
3229363,14825,Lawendowe Wzgórze,2022-04-22 06:13:02,2,T201R12,REALTIME
3244269,2146,Zakopiańska,2022-04-22 06:13:42,-17,T201R12,REALTIME
3229318,2037,Bażyńskiego,2022-04-22 06:13:39,-20,T201R12,REALTIME
3229346,2005,Brama Oliwska,2022-04-22 06:14:39,159,T201R12,REALTIME
3229318,2039,Tetmajera,2022-04-22 06:14:31,-28,T201R12,REALTIME
3244269,2144,Ciasna,2022-04-22 06:15:35,35,T201R12,REALTIME
3229346,2007,Chodowieckiego,2022-04-22 06:15:38,158,T201R12,REALTIME
3229318,2041,Derdowskiego,2022-04-22 06:15:41,-18,T201R12,REALTIME
3229363,14827,Ujeścisko,2022-04-22 06:16:23,23,T201R12,REALTIME
3244269,2142,Paska,2022-04-22 06:16:48,48,T201R12,REALTIME
3229346,2009,Uniwersytet Medyczny,2022-04-22 06:16:35,155,T201R12,REALTIME
3229346,2011,Traugutta,2022-04-22 06:17:22,82,T201R12,REALTIME
3229318,2043,Obrońców Westerplatte,2022-04-22 06:17:41,41,T201R12,REALTIME
3229346,2015,Opera Bałtycka,2022-04-22 06:19:41,101,T201R12,REALTIME
3229318,202,Oliwa,2022-04-22 06:38:05,1145,T201R12,REALTIME
3244269,2140,Powstańców Warszawskich,2022-04-22 06:19:12,72,T201R12,REALTIME
3229363,14821,Zabornia,2022-04-22 06:19:08,68,T201R12,REALTIME
3229346,2017,Politechnika,2022-04-22 06:19:41,41,T201R12,REALTIME
3229363,14819,Stolema,2022-04-22 06:20:31,91,T201R12,REALTIME
3244269,2138,Hucisko,2022-04-22 06:22:35,95,T201R12,REALTIME
3229346,2019,Miszewskiego,2022-04-22 06:21:19,19,T201R12,REALTIME
3229363,14818,Łabędzia,2022-04-22 06:21:10,70,T201R12,REALTIME
3229363,14815,Królewskie Wzgórze,2022-04-22 06:21:54,54,T201R12,REALTIME
3229363,14547,Migowo,2022-04-22 06:22:33,33,T201R12,REALTIME
3244269,2001,Dworzec Główny,2022-04-22 06:23:10,10,T201R12,REALTIME
3229346,2021,Jaśkowa Dolina,2022-04-22 06:23:00,None,T201R12,SCHEDULED
3229346,2023,Klonowa,2022-04-22 06:24:11,11,T201R12,REALTIME
3229363,14546,Budapesztańska,2022-04-22 06:24:19,19,T201R12,REALTIME
3229363,14540,Warneńska,2022-04-22 06:27:23,83,T201R12,REALTIME
3244269,2005,Brama Oliwska,2022-04-22 06:26:00,None,T201R12,SCHEDULED
3229346,2025,Galeria Bałtycka,2022-04-22 06:26:57,57,T201R12,REALTIME
3244269,2007,Chodowieckiego,2022-04-22 06:27:00,None,T201R12,SCHEDULED
3229363,14538,Belgradzka,2022-04-22 06:28:37,97,T201R12,REALTIME
3244269,2009,Uniwersytet Medyczny,2022-04-22 06:28:13,13,T201R12,REALTIME
3229346,2027,Wojska Polskiego,2022-04-22 06:28:00,None,T201R12,SCHEDULED
3229363,14536,Piekarnicza,2022-04-22 06:29:56,56,T201R12,REALTIME
3229346,2029,Zamenhofa,2022-04-22 06:29:00,None,T201R12,SCHEDULED
3244269,2011,Traugutta,2022-04-22 06:30:21,21,T201R12,REALTIME
3229346,2031,Zajezdnia,2022-04-22 06:30:28,28,T201R12,REALTIME
3229346,2033,Strzyża PKM,2022-04-22 06:31:25,25,T201R12,REALTIME
3229363,2150,Siedlce,2022-04-22 06:33:12,72,T201R12,REALTIME
3244269,2015,Opera Bałtycka,2022-04-22 06:32:01,1,T201R12,REALTIME
3229346,2035,Uniwersytet Gdański,2022-04-22 06:32:56,-3,T201R12,REALTIME
3229363,2148,Skrajna,2022-04-22 06:34:05,65,T201R12,REALTIME
3244269,2017,Politechnika,2022-04-22 06:33:31,31,T201R12,REALTIME
3229346,2037,Bażyńskiego,2022-04-22 06:33:51,-8,T201R12,REALTIME
3229393,14825,Lawendowe Wzgórze,2022-04-22 06:33:44,44,T201R12,REALTIME
3229363,2146,Zakopiańska,2022-04-22 06:34:48,48,T201R12,REALTIME
3229346,2039,Tetmajera,2022-04-22 06:34:42,-17,T201R12,REALTIME
3244269,2019,Miszewskiego,2022-04-22 06:36:13,73,T201R12,REALTIME
3229346,2041,Derdowskiego,2022-04-22 06:35:58,-1,T201R12,REALTIME
3229363,2144,Ciasna,2022-04-22 06:35:42,42,T201R12,REALTIME
3229363,2142,Paska,2022-04-22 06:37:12,72,T201R12,REALTIME
3244269,2021,Jaśkowa Dolina,2022-04-22 06:36:49,-10,T201R12,REALTIME
3229346,2043,Obrońców Westerplatte,2022-04-22 06:36:47,-12,T201R12,REALTIME
3229393,14827,Ujeścisko,2022-04-22 06:37:32,92,T201R12,REALTIME
3229363,2140,Powstańców Warszawskich,2022-04-22 06:38:33,33,T201R12,REALTIME
3229346,202,Oliwa,2022-04-22 06:39:00,None,T201R12,SCHEDULED
3244269,2023,Klonowa,2022-04-22 06:39:04,64,T201R12,REALTIME
3229393,14821,Zabornia,2022-04-22 06:40:27,147,T201R12,REALTIME
3229393,2009,Uniwersytet Medyczny,2022-04-22 07:12:12,252,T201R12,REALTIME
3244269,2025,Galeria Bałtycka,2022-04-22 06:41:47,107,T201R12,REALTIME
3229393,14819,Stolema,2022-04-22 06:41:16,136,T201R12,REALTIME
3244269,2027,Wojska Polskiego,2022-04-22 06:42:16,16,T201R12,REALTIME
3229363,2138,Hucisko,2022-04-22 06:43:14,134,T201R12,REALTIME
3229393,14818,Łabędzia,2022-04-22 06:42:57,177,T201R12,REALTIME
3229393,2011,Traugutta,2022-04-22 07:14:33,273,T201R12,REALTIME
3244269,2029,Zamenhofa,2022-04-22 06:43:27,27,T201R12,REALTIME
3229393,14815,Królewskie Wzgórze,2022-04-22 06:44:40,220,T201R12,REALTIME
3229393,14547,Migowo,2022-04-22 06:45:33,213,T201R12,REALTIME
3229363,2001,Dworzec Główny,2022-04-22 06:45:28,148,T201R12,REALTIME
3244269,2031,Zajezdnia,2022-04-22 06:45:28,88,T201R12,REALTIME
3229363,2005,Brama Oliwska,2022-04-22 06:46:49,49,T201R12,REALTIME
3244269,2033,Strzyża PKM,2022-04-22 06:46:15,75,T201R12,REALTIME
3229363,2007,Chodowieckiego,2022-04-22 06:47:20,20,T201R12,REALTIME
3244269,2035,Uniwersytet Gdański,2022-04-22 06:47:32,32,T201R12,REALTIME
3229393,14546,Budapesztańska,2022-04-22 06:47:39,219,T201R12,REALTIME
3229363,2009,Uniwersytet Medyczny,2022-04-22 06:48:41,41,T201R12,REALTIME
3244269,2037,Bażyńskiego,2022-04-22 06:48:38,38,T201R12,REALTIME
3229393,14540,Warneńska,2022-04-22 06:50:06,246,T201R12,REALTIME
3229363,2011,Traugutta,2022-04-22 06:49:46,-13,T201R12,REALTIME
3244269,2039,Tetmajera,2022-04-22 06:49:32,32,T201R12,REALTIME
3229393,14538,Belgradzka,2022-04-22 06:51:04,244,T201R12,REALTIME
3244269,2041,Derdowskiego,2022-04-22 06:50:42,42,T201R12,REALTIME
3244269,2043,Obrońców Westerplatte,2022-04-22 06:51:56,56,T201R12,REALTIME
3244269,202,Oliwa,2022-04-22 06:58:04,304,T201R12,REALTIME
3229363,2015,Opera Bałtycka,2022-04-22 06:52:14,14,T201R12,REALTIME
3229393,14536,Piekarnicza,2022-04-22 06:52:37,217,T201R12,REALTIME
3249550,14825,Lawendowe Wzgórze,2022-04-22 06:52:59,0,T201R12,REALTIME
3229363,2017,Politechnika,2022-04-22 06:53:43,43,T201R12,REALTIME
3229363,2019,Miszewskiego,2022-04-22 06:54:59,0,T201R12,REALTIME
3249550,14827,Ujeścisko,2022-04-22 06:56:00,None,T201R12,SCHEDULED
3229393,2150,Siedlce,2022-04-22 06:57:19,319,T201R12,REALTIME
3229363,2021,Jaśkowa Dolina,2022-04-22 06:57:00,None,T201R12,SCHEDULED
3229393,2148,Skrajna,2022-04-22 06:58:01,301,T201R12,REALTIME
3229363,2023,Klonowa,2022-04-22 06:58:00,None,T201R12,SCHEDULED
3229393,2146,Zakopiańska,2022-04-22 06:58:56,296,T201R12,REALTIME
