trip,stopId,stopName,timestamp,delay,variant,status
3259676,2037,Bażyńskiego,2022-04-23 06:07:11,11,T201R12,REALTIME
3269551,2140,Powstańców Warszawskich,2022-04-23 06:07:19,19,T201R12,REALTIME
3259676,2039,Tetmajera,2022-04-23 06:08:03,3,T201R12,REALTIME
3259676,2041,Derdowskiego,2022-04-23 06:08:52,-7,T201R12,REALTIME
3259676,2043,Obrońców Westerplatte,2022-04-23 06:10:17,17,T201R12,REALTIME
3269551,2138,Hucisko,2022-04-23 06:11:37,97,T201R12,REALTIME
3269551,2001,Dworzec Główny,2022-04-23 06:12:10,10,T201R12,REALTIME
3259676,202,Oliwa,2022-04-23 06:40:02,1682,T201R12,REALTIME
3271012,14825,Lawendowe Wzgórze,2022-04-23 06:12:02,2,T201R12,REALTIME
3271012,14827,Ujeścisko,2022-04-23 06:15:46,46,T201R12,REALTIME
3269551,2009,Uniwersytet Medyczny,2022-04-23 06:16:59,0,T201R12,REALTIME
3271012,14821,Zabornia,2022-04-23 06:17:25,25,T201R12,REALTIME
3271012,14819,Stolema,2022-04-23 06:18:29,29,T201R12,REALTIME
3271012,14818,Łabędzia,2022-04-23 06:19:38,38,T201R12,REALTIME
3269551,2015,Opera Bałtycka,2022-04-23 06:21:00,None,T201R12,SCHEDULED
3271012,14815,Królewskie Wzgórze,2022-04-23 06:21:38,98,T201R12,REALTIME
3269551,2017,Politechnika,2022-04-23 06:21:49,-10,T201R12,REALTIME
3271012,14547,Migowo,2022-04-23 06:22:36,96,T201R12,REALTIME
3271012,14546,Budapesztańska,2022-04-23 06:24:38,98,T201R12,REALTIME
3269551,2019,Miszewskiego,2022-04-23 06:24:01,1,T201R12,REALTIME
3269551,2021,Jaśkowa Dolina,2022-04-23 06:26:00,None,T201R12,SCHEDULED
3269551,2023,Klonowa,2022-04-23 06:27:09,9,T201R12,REALTIME
3271012,14540,Warneńska,2022-04-23 06:27:34,154,T201R12,REALTIME
3271012,14538,Belgradzka,2022-04-23 06:27:54,114,T201R12,REALTIME
3269551,2025,Galeria Bałtycka,2022-04-23 06:29:12,12,T201R12,REALTIME
3271012,14536,Piekarnicza,2022-04-23 06:29:02,62,T201R12,REALTIME
3269551,2027,Wojska Polskiego,2022-04-23 06:31:02,2,T201R12,REALTIME
3269551,2029,Zamenhofa,2022-04-23 06:32:05,5,T201R12,REALTIME
3271012,2150,Siedlce,2022-04-23 06:32:16,76,T201R12,REALTIME
3269551,2031,Zajezdnia,2022-04-23 06:33:04,4,T201R12,REALTIME
3271012,2148,Skrajna,2022-04-23 06:33:41,101,T201R12,REALTIME
3271012,2146,Zakopiańska,2022-04-23 06:34:28,88,T201R12,REALTIME
3269551,2033,Strzyża PKM,2022-04-23 06:34:24,24,T201R12,REALTIME
3271012,2144,Ciasna,2022-04-23 06:36:23,143,T201R12,REALTIME
3269551,2035,Uniwersytet Gdański,2022-04-23 06:36:00,None,T201R12,SCHEDULED
3269551,2037,Bażyńskiego,2022-04-23 06:37:02,2,T201R12,REALTIME
3271012,2142,Paska,2022-04-23 06:37:02,122,T201R12,REALTIME
3269551,2039,Tetmajera,2022-04-23 06:37:39,-20,T201R12,REALTIME
3269551,2041,Derdowskiego,2022-04-23 06:38:41,-18,T201R12,REALTIME
3272128,14825,Lawendowe Wzgórze,2022-04-23 06:39:12,12,T201R12,REALTIME
3271012,2140,Powstańców Warszawskich,2022-04-23 06:38:47,107,T201R12,REALTIME
3269551,2043,Obrońców Westerplatte,2022-04-23 06:40:00,None,T201R12,SCHEDULED
3269551,202,Oliwa,2022-04-23 06:42:00,None,T201R12,SCHEDULED
3272128,14827,Ujeścisko,2022-04-23 06:42:29,29,T201R12,REALTIME
3271012,2138,Hucisko,2022-04-23 06:43:08,188,T201R12,REALTIME
3271012,2001,Dworzec Główny,2022-04-23 06:43:59,119,T201R12,REALTIME
3272128,14821,Zabornia,2022-04-23 06:44:29,29,T201R12,REALTIME
3272128,14819,Stolema,2022-04-23 06:45:08,8,T201R12,REALTIME
3271012,2005,Brama Oliwska,2022-04-23 06:45:30,30,T201R12,REALTIME
3271012,2007,Chodowieckiego,2022-04-23 06:46:15,15,T201R12,REALTIME
3272128,14818,Łabędzia,2022-04-23 06:46:16,16,T201R12,REALTIME
3272128,14815,Królewskie Wzgórze,2022-04-23 06:47:34,34,T201R12,REALTIME
3272128,14547,Migowo,2022-04-23 06:48:40,40,T201R12,REALTIME
3271012,2009,Uniwersytet Medyczny,2022-04-23 06:47:49,49,T201R12,REALTIME
3271012,2011,Traugutta,2022-04-23 06:48:46,-13,T201R12,REALTIME
3272128,14546,Budapesztańska,2022-04-23 06:50:28,28,T201R12,REALTIME
3271012,2015,Opera Bałtycka,2022-04-23 06:51:00,None,T201R12,SCHEDULED
3271012,2017,Politechnika,2022-04-23 06:51:50,-9,T201R12,REALTIME
3272128,14540,Warneńska,2022-04-23 06:53:24,84,T201R12,REALTIME
3272128,14538,Belgradzka,2022-04-23 06:53:23,23,T201R12,REALTIME
